name|team|ip|w|sv|hld|era|whip|so|hr|qs|bb|hbp|bf
Camilo Doval|NYY|8.3|1|0|1|7.56|1.2|8|2|0|1|0|37
Valente Bellozo|COL|10.7|0|0|0|7.59|1.59|8|5|0|7|1|48
Jake Bird|NYY|7.0|1|0|1|7.71|1.43|9|1|0|1|1|32
Garrett Cleavinger|TBR|2.3|1|0|2|7.71|3.0|3|0|0|4|0|14
Pete Fairbanks|MIA|7.0|0|3|0|7.71|1.14|10|1|0|1|1|30
Jeff Hoffman|TOR|9.3|1|2|0|7.71|2.04|20|2|0|6|0|48
Joey Lucchesi|LAA|2.3|0|0|1|7.71|3.43|2|0|0|4|1|16
Ryne Stanek|STL|9.3|1|1|4|7.71|2.14|12|1|0|7|0|48
Garrett Crochet|BOS|24.0|2|0|0|7.88|1.63|30|5|2|9|4|116
Andrés Muñoz|SEA|8.0|2|3|0|7.88|1.63|14|1|0|5|0|38
Jesús Luzardo|PHI|22.7|1|0|0|7.94|1.46|30|3|1|5|0|98
J.P. France|HOU|6.7|0|0|0|8.1|1.65|4|1|0|5|1|31
Anthony Bender|MIA|7.7|1|1|2|8.22|2.09|10|0|0|8|2|41
Mark Leiter Jr.|ATH|8.7|0|2|0|8.31|2.08|9|2|0|4|1|44
Andrew Morris|MIN|4.3|0|0|1|8.31|2.54|4|0|0|2|0|24
Elvis Alvarado|ATH|9.7|2|0|3|8.38|1.86|9|1|0|7|0|44
Ian Seymour|TBR|10.7|0|0|4|8.44|1.5|13|1|0|2|1|47
José Urquidy|PIT|6.3|0|1|0|8.53|2.68|6|1|0|2|0|36
Kodai Senga|NYM|17.3|0|0|0|8.83|1.9|22|4|1|10|0|82
José Alvarado|PHI|7.0|0|0|3|9.0|1.86|9|0|0|3|1|35
Luinder Avila|KCR|6.0|0|0|0|9.0|3.0|6|1|0|4|0|33
Charlie Barnes|CHC|3.0|0|0|0|9.0|2.33|1|0|0|3|1|17
Wilber Dotel|PIT|1.0|0|0|0|9.0|1.0|1|1|0|0|0|4
Logan Henderson|MIL|2.0|0|0|0|9.0|2.0|3|0|0|1|0|9
Luke Little|CHC|1.0|0|0|0|9.0|2.0|1|1|0|0|0|5
Jayden Murray|HOU|2.0|0|0|0|9.0|2.5|3|0|0|3|0|11
Miguel Rojas|LAD|1.0|0|0|0|9.0|2.0|0|0|0|1|1|6
Joey Wiemer|WSH|1.0|0|0|0|9.0|3.0|0|0|0|1|1|7
Miles Mikolas|WSH|19.7|0|0|0|9.15|1.98|15|6|0|10|0|98
Taijuan Walker|PHI|18.7|1|0|0|9.16|2.04|16|6|0|10|1|94
Ben Casparius|LAD|4.7|0|0|0|9.64|2.14|4|1|0|4|0|23
Johan Oviedo|BOS|3.7|0|0|0|9.82|1.91|3|2|0|1|1|18
Taylor Rashi|ARI|3.7|1|0|0|9.82|1.09|4|1|0|1|0|15
Colton Gordon|HOU|6.3|0|0|0|9.95|2.05|10|4|0|1|1|31
Shane Drohan|MIL|2.7|0|0|0|10.13|2.63|2|0|0|4|0|15
Seth Johnson|PHI|2.7|0|0|0|10.13|2.25|2|0|0|2|1|16
Trevor Megill|MIL|7.0|0|4|1|10.29|1.86|9|0|0|4|1|36
Kolby Allard|CLE|8.7|0|0|0|10.38|2.19|9|2|0|3|1|45
Anthony Banda|MIN|8.7|1|0|1|10.38|1.62|8|1|0|2|4|43
Edwin Díaz|LAD|6.0|1|4|0|10.5|2.33|10|1|0|5|1|33
Chris Murphy|CHW|6.0|1|1|0|10.5|2.33|6|1|0|5|0|32
Shane Smith|CHW|8.3|0|0|0|10.8|2.52|11|1|0|9|1|49
George Klassen|LAA|4.7|0|0|0|11.57|3.64|6|1|0|10|0|32
