name|team|pos|pa|hr|r|rbi|sb|so|avg|obp|slg|war
Ryan Vilade|TBR|OF|175|4|19|19|3|43|241|312|371|3
Otto Kemp|PHI|1B/3B|238|7|29|30|4|68|234|313|395|3
Nolan Jones|CLE|OF|119|3|13|12|2|35|237|324|379|3
Luis Matos|SFG|OF|126|4|15|16|2|17|249|299|409|3
Bryce Eldridge|SFG|1B/DH|420|16|42|55|1|125|234|302|416|3
Carlos Santana|ARI|1B|357|10|38|40|3|69|224|314|362|3
Jasson Domínguez|NYY|OF|91|3|12|11|4|23|250|325|404|3
Hyeseong Kim|LAD|2B|133|2|15|15|7|33|249|293|359|3
Brett Harris|ATH|3B|105|2|12|12|1|22|235|317|364|3
Ryan Mountcastle|BAL|1B|147|5|17|19|1|36|257|304|432|3
Leody Taveras|BAL|OF|77|2|9|8|3|16|250|305|392|3
Troy Johnston|COL|1B/OF|287|7|33|35|9|58|262|323|417|3
Keibert Ruiz|WSN|C|320|8|30|36|2|36|249|292|379|3
Daniel Susac|SFG|C|77|2|7|9|1|22|235|286|367|3
Christian Vázquez|HOU|C|77|1|7|7|1|15|226|280|327|3
Juan Brito|CLE|2B|98|2|11|10|1|20|228|314|363|3
Ryan Waldschmidt|ARI|OF|119|2|15|13|3|26|239|336|360|3
Justyn-Henry Malloy|TBR|DH/OF|98|3|12|11|1|27|239|349|381|3
Johan Rojas|PHI|OF|91|1|11|9|5|19|247|294|350|2
Leo Jiménez|TOR|2B/SS|77|2|9|8|1|17|229|319|352|2
Nick Allen|HOU|SS|126|1|12|10|3|25|233|297|313|2
Richie Palacios|TBR|OF|175|3|20|16|5|34|232|321|337|2
Randal Grichuk|NYY|OF|126|4|15|15|0|27|242|295|419|2
Tyler Locklear|ARI|1B|154|4|18|19|3|40|244|322|398|2
Griffin Conine|MIA|OF|371|12|40|43|1|123|222|302|383|2
Jose Iglesias||SS|168|2|16|16|2|28|253|302|343|2
Mike Tauchman|NYM|OF|105|2|13|10|1|25|233|332|362|2
Eli White|ATL|OF|133|3|17|15|5|37|237|295|371|2
Luis Urías||2B/3B|98|3|10|11|1|18|229|320|360|2
Dom Keegan|TBR|C|64|2|7|7|0|18|225|291|361|2
Robert Hassell III|WSN|OF|273|5|28|26|6|65|242|300|345|2
Kristian Campbell|BOS|2B|91|2|10|10|1|23|248|335|381|2
Heriberto Hernández|MIA|DH/OF|336|11|38|41|3|102|223|309|393|2
