name|team|role|ip|w|sv|hld|era|whip|so|hr|qs|gs|g|war
Keegan Akin|BAL|RP|660|4|3|16|393|1269|67|9|0|0|66|3
Drew Thorpe|CHW|SP|430|2|0|0|482|1403|33|7|3|8|8|3
Jonah Tong|NYM|RP|260|2|0|1|371|1261|30|3|1|3|13|3
Dietrich Enns|BAL|RP|620|3|0|13|396|1329|56|8|0|0|62|3
Andrew Alvarez|WSN|RP|530|2|0|1|429|1405|40|6|2|5|33|3
Tyler Rogers|TOR|RP|740|5|2|18|386|1259|51|8|0|0|74|3
Jovani Morán|BOS|RP|560|3|0|10|374|1326|61|5|0|0|56|3
Clarke Schmidt|NYY|RP|320|2|0|1|399|1250|31|4|1|3|17|3
Josiah Gray|WSN|SP|970|5|0|0|497|1417|84|17|8|18|18|3
Andrew Nardi|MIA|RP|560|3|0|10|371|1263|67|7|0|0|56|3
José Urquidy|PIT|RP|990|5|0|1|487|1346|72|16|5|15|37|3
Brandon Williamson|CIN|RP|800|4|0|1|494|1432|66|13|3|10|40|3
Erik Miller|SFG|RP|620|4|2|15|360|1377|68|5|0|0|62|3
Phil Maton|CHC|RP|650|4|4|14|376|1228|67|7|0|0|65|3
Quinn Mathews|STL|SP|400|2|0|0|431|1457|36|5|4|8|8|3
Ben Brown|CHC|RP|510|3|0|1|375|1197|57|6|1|2|44|3
Troy Melton|DET|RP|520|3|0|1|403|1258|47|7|1|3|38|3
Mason Montgomery|PIT|RP|600|3|2|12|387|1308|63|7|0|0|60|3
Tanner Gordon|COL|RP|570|3|0|1|525|1389|42|11|2|6|30|3
Ryan Bergert|KCR|RP|600|2|0|1|464|1407|50|8|3|8|28|3
JR Ritchie|ATL|SP|340|2|0|0|449|1373|29|4|3|6|6|3
Calvin Faucher|MIA|RP|640|3|5|11|400|1382|64|7|0|0|64|3
Greg Weissert|BOS|RP|650|4|1|17|421|1330|59|8|0|0|65|3
Angel Zerpa|MIL|RP|600|3|0|12|361|1253|57|7|0|0|60|3
Tommy Nance|TOR|RP|580|3|0|12|378|1273|55|7|0|0|58|3
Eric Orze|MIN|RP|600|3|1|11|409|1365|59|7|0|0|60|3
River Ryan|LAD|SP|470|2|0|1|479|1426|39|7|3|8|16|3
Jordan Wicks|CHC|RP|310|2|0|1|390|1276|28|4|1|3|18|3
Brock Burke|CIN|RP|620|4|1|13|417|1292|58|8|0|0|62|3
Paul Blackburn|NYY|RP|660|3|0|12|442|1321|55|9|1|2|59|3
Juan Mejia|COL|RP|660|3|3|14|456|1412|68|8|0|0|66|3
Pierce Johnson|CIN|RP|610|3|1|12|425|1339|67|9|0|0|61|2
Thomas White|MIA|SP|240|1|0|0|421|1402|23|3|2|5|5|2
