name|team|pa|hr|r|rbi|sb|so|avg|obp|slg
Blake Perkins|MIL|1|0|0|0|0|0|0.0|0.0|0.0
Santiago Espinal|LAD|2|0|0|0|0|1|0.0|0.0|0.0
Nick Allen|HOU|1|0|0|0|0|1|0.0|0.0|0.0
Ezequiel Duran|TEX|1|0|0|0|0|1|0.0|0.0|0.0
James Outman|MIN|1|0|0|0|0|0|0.0|0.0|0.0
Tyler Tolbert|KCR|1|0|0|0|0|1|0.0|0.0|0.0
Bryce Teodosio|LAA|1|0|0|0|0|0|0.0|0.0|0.0
Braxton Fulford|COL|1|0|0|0|0|1|0.0|0.0|0.0
Ryan Ritter|COL|2|0|0|0|0|2|0.0|0.0|0.0
Dylan Beavers|BAL|2|0|0|0|0|1|0.0|0.0|0.0
Ramon Urias|STL|4|0|0|0|0|2|0.25|0.25|0.5
Tyler O'Neill|BAL|5|0|1|0|0|1|0.25|0.4|0.25
James Wood|WSN|9|1|1|1|0|5|0.111|0.111|0.444
Spencer Torkelson|DET|13|0|2|2|0|5|0.182|0.308|0.182
Trea Turner|PHI|9|0|2|0|0|2|0.222|0.222|0.222
Jose Ramirez|CLE|14|0|1|3|1|2|0.143|0.143|0.286
Carlos Santana|ARI|10|0|1|0|0|3|0.111|0.2|0.222
Isaac Paredes|HOU|13|0|2|2|0|4|0.091|0.231|0.182
Yainer Diaz|HOU|13|0|1|2|0|5|0.167|0.231|0.167
Javier Baez|DET|8|0|0|0|0|2|0.143|0.25|0.143
Miguel Andujar|SDP|8|0|0|1|0|1|0.143|0.25|0.143
Josh Smith|TEX|8|0|0|0|0|2|0.143|0.25|0.143
Samuel Basallo|BAL|8|0|1|0|0|3|0.143|0.25|0.143
Jung Hoo Lee|SFG|11|0|1|0|0|2|0.1|0.182|0.2
Adolis Garcia|PHI|8|0|1|1|0|3|0.125|0.125|0.25
Kyle Manzardo|CLE|14|0|0|1|0|8|0.154|0.214|0.154
Ivan Herrera|STL|9|0|0|2|0|1|0.125|0.111|0.25
Corbin Carroll|ARI|12|0|2|1|0|2|0.182|0.167|0.182
Pete Alonso|BAL|9|0|0|0|0|4|0.125|0.222|0.125
Bo Naylor|CLE|9|0|0|0|0|1|0.125|0.222|0.125
Nick Castellanos|SDP|6|0|0|0|0|1|0.167|0.167|0.167
Jake Fraley|TBR|6|0|0|0|0|2|0.167|0.167|0.167
Luis Garcia Jr.|WSN|6|0|1|0|0|0|0.167|0.167|0.167
Evan Carter|TEX|6|0|0|0|0|1|0.167|0.167|0.167
Masyn Winn|STL|9|0|1|0|0|3|0.111|0.111|0.222
Marcell Ozuna|PIT|10|0|0|0|0|1|0.111|0.2|0.111
Alex Bregman|CHC|10|0|0|0|0|2|0.111|0.2|0.111
Matt Shaw|CHC|7|0|1|1|0|1|0.167|0.143|0.167
George Springer|TOR|10|0|0|1|0|3|0.1|0.1|0.2
Riley Greene|DET|14|0|2|1|0|3|0.083|0.214|0.083
Jake McCarthy|COL|7|0|0|0|1|2|0.143|0.143|0.143
Gabriel Arias|CLE|7|0|0|0|0|3|0.143|0.143|0.143
Luisangel Acuna|CHW|7|0|0|0|0|0|0.143|0.143|0.143
Denzel Clarke|ATH|7|0|1|1|0|4|0.143|0.143|0.143
Luke Keaschall|MIN|8|0|0|1|0|1|0.143|0.125|0.143
Danny Jansen|TEX|8|0|0|1|0|3|0.125|0.125|0.125
Willi Castro|COL|8|0|2|0|0|3|0.125|0.125|0.125
Max Muncy|ATH|8|0|1|0|1|5|0.125|0.125|0.125
Taylor Ward|BAL|9|0|0|0|0|2|0.0|0.222|0.0
Spencer Steer|CIN|9|0|0|0|0|3|0.0|0.222|0.0
Bryce Harper|PHI|9|0|0|1|0|2|0.111|0.111|0.111
Brent Rooker|ATH|9|0|0|1|0|6|0.111|0.111|0.111
