name|team|ip|w|sv|hld|era|whip|so|hr|qs|gs|g
Tylor Megill|NYM|68.1|5|0|0|3.95|1.366|89|6|1|14|14
Carmen Mlodzinski|PIT|99|5|0|3|3.55|1.303|89|8|0|12|34
Emmet Sheehan|LAD|73.1|6|0|0|2.82|0.971|89|7|3|12|15
Aaron Civale|3 Tms|102|4|1|0|4.85|1.265|88|16|3|18|23
Zebby Matthews|MIN|79.1|5|0|0|5.56|1.492|88|12|4|16|16
Jacob Misiorowski|MIL|66|5|0|0|4.36|1.242|87|8|3|14|15
Taijuan Walker|PHI|123.2|5|1|2|4.08|1.412|86|21|4|21|34
Andrew Heaney|2 Tms|122.1|5|0|0|5.52|1.384|86|25|7|23|27
David Bednar|2 Tms|62.2|6|27|4|2.3|1.045|86|4|0|0|64
Jonathan Cannon|CHW|103.2|4|0|0|5.82|1.492|86|19|3|17|22
Aroldis Chapman|BOS|61.1|5|32|4|1.17|0.704|85|3|0|0|67
Cal Quantrill|2 Tms|117.2|4|0|0|6.04|1.459|85|22|1|26|26
Clayton Kershaw|LAD|112.2|11|0|0|3.36|1.221|84|8|6|22|23
Steven Okert|HOU|71.2|3|1|10|3.01|0.899|84|6|0|1|68
Jeff Hoffman|TOR|68|9|33|0|4.37|1.191|84|15|0|0|71
Cam Schlittler|NYY|73|4|0|0|2.96|1.219|84|8|5|14|14
Germán Márquez|COL|126.1|3|0|0|6.7|1.713|83|23|6|26|26
Brandon Woodruff|MIL|64.2|7|0|0|3.2|0.919|83|9|6|12|12
Erick Fedde|3 Tms|141|4|0|1|5.49|1.518|83|19|6|24|32
Bryan Baker|2 Tms|68.2|4|3|19|4.06|1.114|83|13|0|0|73
Andrés Muñoz|SEA|62.1|3|38|0|1.73|1.031|83|2|0|0|64
Max Scherzer|TOR|85|5|0|0|5.19|1.294|82|19|6|17|17
Gabe Speier|SEA|62|4|0|24|2.61|0.871|82|5|0|0|76
Tyler Alexander|2 Tms|97.2|5|1|3|4.98|1.409|82|9|0|5|52
Garrett Cleavinger|TBR|61.1|2|2|21|2.35|0.949|82|9|0|0|67
Eduard Bazardo|SEA|78.2|5|0|12|2.52|1.023|82|9|0|0|73
Mike Vasil|CHW|101|5|4|2|2.5|1.248|82|8|0|3|47
Chase Dollander|COL|98|2|0|0|6.52|1.551|82|18|4|21|21
Emilio Pagán|CIN|68.2|2|32|2|2.88|0.924|81|10|0|0|70
Jimmy Herget|COL|83.1|1|0|9|2.48|1.179|81|6|0|0|59
Phil Maton|2 Tms|61.1|4|5|22|2.79|1.064|81|3|0|0|63
Bailey Falter|2 Tms|125.1|7|0|0|4.45|1.287|81|19|7|24|26
Jordan Leasure|CHW|64.1|5|7|14|3.92|1.232|81|12|0|1|68
Jhoan Duran|2 Tms|70|7|32|1|2.06|1.100|80|3|0|0|72
Kyle Leahy|STL|88|4|1|18|3.07|1.227|80|5|0|1|62
Alex Vesia|LAD|59.2|4|5|25|3.02|0.997|80|9|0|0|68
Reid Detmers|LAA|63.2|5|3|13|3.96|1.313|80|6|0|0|61
Seranthony Domínguez|2 Tms|62.2|4|2|20|3.16|1.286|79|5|0|0|67
Randy Vásquez|SDP|133.2|6|0|0|3.84|1.329|78|16|9|26|28
Stephen Kolek|2 Tms|112.2|5|0|0|3.51|1.150|77|9|9|19|19
