name|team|ip|w|sv|hld|era|whip|so|hr|qs
Andrew Painter|PHI|14.3|1|0|0|3.77|1.33|16|0|0
Cole Ragans|KCR|16.7|0|0|0|3.78|1.38|16|3|2
Joe Ryan|MIN|21.3|2|0|0|3.8|0.98|22|1|1
Jonathan Bowlan|PHI|7.0|1|0|0|3.86|1.29|8|0|0
Bubba Chandler|PIT|14.0|0|0|0|3.86|1.57|14|2|0
Spencer Miles|TOR|9.3|1|0|0|3.86|1.18|8|2|0
Freddy Peralta|NYM|21.0|1|0|0|3.86|1.14|25|3|1
Cody Ponce|TOR|2.3|0|0|0|3.86|0.86|3|0|0
Noah Cameron|KCR|16.0|1|0|0|3.94|1.25|14|2|0
Steven Matz|TBR|16.0|3|0|0|3.94|0.94|17|1|1
Casey Mize|DET|16.0|1|0|0|3.94|1.44|18|2|1
Shane McClanahan|TBR|13.7|1|0|0|3.95|1.17|13|1|0
Mick Abel|MIN|20.3|1|0|0|3.98|1.57|23|0|2
Tyler Glasnow|LAD|18.0|1|0|0|4.0|0.94|22|2|2
Jordan Leasure|CHW|9.0|1|0|3|4.0|1.0|9|2|0
Jonathan Loáisiga|ARI|9.0|0|1|3|4.0|1.11|7|1|0
Paul Skenes|PIT|18.0|3|0|0|4.0|0.94|18|2|2
Aaron Nola|PHI|22.3|1|0|0|4.03|1.3|24|3|2
Alex Lange|KCR|6.7|0|0|0|4.05|1.5|10|0|0
Eric Orze|MIN|6.7|0|1|3|4.05|1.5|4|0|0
Lucas Sims|CHW|6.7|0|0|2|4.05|1.5|6|0|0
Matt Strahm|KCR|6.7|0|0|5|4.05|1.2|6|1|0
Max Meyer|MIA|19.7|1|0|0|4.12|1.32|20|2|0
Dietrich Enns|BAL|4.3|0|0|0|4.15|1.62|7|0|0
Orion Kerkering|PHI|4.3|0|0|1|4.15|1.15|4|0|0
Jose Quintana|COL|4.3|0|0|0|4.15|1.85|2|0|0
Logan Gilbert|SEA|23.7|1|0|0|4.18|1.1|25|2|2
Zack Littell|WSH|15.0|0|0|0|4.2|1.4|10|5|0
Bryan Baker|TBR|6.3|1|3|0|4.26|0.95|7|1|0
Pierce Johnson|CIN|6.3|1|0|2|4.26|1.42|7|1|0
Cody Laweryson|MIN|6.3|0|1|1|4.26|0.79|8|0|0
Cole Sands|MIN|6.3|0|1|3|4.26|1.58|5|1|0
Matthew Liberatore|STL|21.0|0|0|0|4.29|1.57|12|5|1
Ryan Weathers|NYY|21.0|0|0|0|4.29|1.38|28|4|1
Tyler Mahle|SFG|14.7|0|0|0|4.3|1.57|15|2|0
Jeff Hoffman|TOR|8.3|1|2|0|4.32|1.8|18|1|0
Janson Junk|MIA|16.7|0|0|0|4.32|1.26|12|2|1
Steven Okert|HOU|8.3|0|0|1|4.32|0.84|7|1|0
Brandon Woodruff|MIL|16.7|1|0|0|4.32|1.08|16|3|1
Sonny Gray|BOS|20.3|2|0|0|4.43|1.28|11|3|2
Shane Baz|BAL|16.0|0|0|0|4.5|1.56|13|1|0
Yerry De los Santos|NYY|2.0|0|0|0|4.5|2.5|1|1|0
Nick Pivetta|SDP|16.0|1|0|0|4.5|1.13|24|0|0
PJ Poulin|WSH|10.0|2|0|3|4.5|1.5|7|3|0
Kumar Rocker|TEX|10.0|0|0|0|4.5|1.4|8|2|0
Gus Varland|WSH|6.0|0|2|1|4.5|1.5|7|1|0
Ryan Walker|SFG|6.0|0|1|1|4.5|1.5|7|1|0
Ryan Watson|BOS|10.0|0|0|0|4.5|1.4|6|2|0
Cade Cavalli|WSH|15.7|0|0|0|4.6|1.72|13|0|1
Chase Dollander|COL|13.7|1|0|0|4.61|1.32|14|3|0
Drew Anderson|DET|9.7|0|1|0|4.66|1.34|9|2|0
Brad Keller|PHI|7.7|0|0|4|4.7|1.3|8|1|0
Peyton Pallette|CLE|7.7|0|0|0|4.7|1.3|9|1|0
Justin Topa|MIN|7.7|0|1|1|4.7|1.7|5|1|0
Cole Wilcox|SEA|5.7|0|0|0|4.76|1.24|6|1|0
Andre Pallante|STL|15.0|1|0|0|4.8|1.53|7|1|0
Emilio Pagán|CIN|9.3|1|5|0|4.82|1.29|9|2|0
Ryan Zeferjahn|LAA|9.3|1|0|0|4.82|1.07|13|0|0
Jameson Taillon|CHC|16.7|0|0|0|4.86|1.26|17|5|1
